Category,Subcategory,Order,URL,XPath,CSS_SELECTOR
여성의류,전체,1,https://shop.29cm.co.kr/best-items?category_large_code=268100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[1],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(1)
여성의류,상의,2,https://shop.29cm.co.kr/best-items?category_large_code=268100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[2],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(2)
여성의류,원피스,3,https://shop.29cm.co.kr/best-items?category_large_code=268100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[3],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(3)
여성의류,바지,4,https://shop.29cm.co.kr/best-items?category_large_code=268100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[4],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(4)
여성의류,스커트,5,https://shop.29cm.co.kr/best-items?category_large_code=268100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[5],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(5)
여성가방,전체,1,https://shop.29cm.co.kr/best-items?category_large_code=269100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[1],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(1)
여성가방,숄더백,2,https://shop.29cm.co.kr/best-items?category_large_code=269100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[2],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(2)
여성가방,크로스백,3,https://shop.29cm.co.kr/best-items?category_large_code=269100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[3],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(3)
여성가방,백팩,4,https://shop.29cm.co.kr/best-items?category_large_code=269100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[4],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(4)
여성가방,"에코,캔버스백",5,https://shop.29cm.co.kr/best-items?category_large_code=269100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[5],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(5)
여성신발,전체,1,https://shop.29cm.co.kr/best-items?category_large_code=270100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[1],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(1)
여성신발,샌들,2,https://shop.29cm.co.kr/best-items?category_large_code=270100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[2],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(2)
여성신발,"슬리퍼,뮬",3,https://shop.29cm.co.kr/best-items?category_large_code=270100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[3],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(3)
여성신발,스니커즈,4,https://shop.29cm.co.kr/best-items?category_large_code=270100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[4],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(4)
여성신발,"플랫,로퍼",5,https://shop.29cm.co.kr/best-items?category_large_code=270100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[5],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(5)
남성의류,전체,1,https://shop.29cm.co.kr/best-items?category_large_code=272100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[1],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(1)
남성의류,상의,2,https://shop.29cm.co.kr/best-items?category_large_code=272100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[2],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(2)
남성의류,하의,3,https://shop.29cm.co.kr/best-items?category_large_code=272100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[3],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(3)
남성의류,아우터,4,https://shop.29cm.co.kr/best-items?category_large_code=272100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[4],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(4)
남성의류,니트웨어,5,https://shop.29cm.co.kr/best-items?category_large_code=272100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[5],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(5)
남성가방,전체,1,https://shop.29cm.co.kr/best-items?category_large_code=273100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[1],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(1)
남성가방,크로스백,2,https://shop.29cm.co.kr/best-items?category_large_code=273100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[2],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(2)
남성가방,백팩,3,https://shop.29cm.co.kr/best-items?category_large_code=273100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[3],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(3)
남성가방,토트백,4,https://shop.29cm.co.kr/best-items?category_large_code=273100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[4],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(4)
남성가방,숄더백,5,https://shop.29cm.co.kr/best-items?category_large_code=273100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[5],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(5)
남성신발,전체,1,https://shop.29cm.co.kr/best-items?category_large_code=274100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[1],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(1)
남성신발,샌들,2,https://shop.29cm.co.kr/best-items?category_large_code=274100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[2],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(2)
남성신발,스니커즈,3,https://shop.29cm.co.kr/best-items?category_large_code=274100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[3],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(3)
남성신발,로퍼,4,https://shop.29cm.co.kr/best-items?category_large_code=274100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[4],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(4)
남성신발,구두,5,https://shop.29cm.co.kr/best-items?category_large_code=274100100,//*[@id="__next"]/div[4]/div[2]/div[1]/ul/span[5],#__next > div.css-1k28ov0.ezz7e2c0 > div.css-1rr4qq7.ezz7e2c2 > div.css-xz3nnf.emwraar0 > ul > span:nth-child(5)